Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-zpox,branch-v5t4,Randomise questionnaire elements?,Question Key,Response
1,1704814718058,09/01/2024 15:38:38,1704814718293,2,09/01/2024 17:38:38,143127,8,questionnaire-jj6n,,34073966,,10072941,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1280x720,1280x551,,,,Demographics_ex1,6,Jewish_First,accepted,No,BEGIN QUESTIONNAIRE,
2,1704814782613,09/01/2024 15:39:42,1704814782888,2,09/01/2024 17:39:42,143127,8,questionnaire-jj6n,,34073966,,10072941,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1280x720,1280x551,,,,Demographics_ex1,6,Jewish_First,accepted,No,age,24
3,1704814782735,09/01/2024 15:39:42,1704814782889,2,09/01/2024 17:39:42,143127,8,questionnaire-jj6n,,34073966,,10072941,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1280x720,1280x551,,,,Demographics_ex1,6,Jewish_First,accepted,No,age-quantised,8
4,1704814782735,09/01/2024 15:39:42,1704814782889,2,09/01/2024 17:39:42,143127,8,questionnaire-jj6n,,34073966,,10072941,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1280x720,1280x551,,,,Demographics_ex1,6,Jewish_First,accepted,No,gender,אישה
5,1704814782735,09/01/2024 15:39:42,1704814782889,2,09/01/2024 17:39:42,143127,8,questionnaire-jj6n,,34073966,,10072941,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1280x720,1280x551,,,,Demographics_ex1,6,Jewish_First,accepted,No,gender-quantised,2
6,1704814782735,09/01/2024 15:39:42,1704814782889,2,09/01/2024 17:39:42,143127,8,questionnaire-jj6n,,34073966,,10072941,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1280x720,1280x551,,,,Demographics_ex1,6,Jewish_First,accepted,No,gender-text,
7,1704814782735,09/01/2024 15:39:42,1704814782889,2,09/01/2024 17:39:42,143127,8,questionnaire-jj6n,,34073966,,10072941,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1280x720,1280x551,,,,Demographics_ex1,6,Jewish_First,accepted,No,ethnic-1,ישראלי/ת
8,1704814782735,09/01/2024 15:39:42,1704814782889,2,09/01/2024 17:39:42,143127,8,questionnaire-jj6n,,34073966,,10072941,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1280x720,1280x551,,,,Demographics_ex1,6,Jewish_First,accepted,No,ethnic-4,יהודי/ת
9,1704814782735,09/01/2024 15:39:42,1704814782890,2,09/01/2024 17:39:42,143127,8,questionnaire-jj6n,,34073966,,10072941,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1280x720,1280x551,,,,Demographics_ex1,6,Jewish_First,accepted,No,ethnic-text,
10,1704814782735,09/01/2024 15:39:42,1704814782890,2,09/01/2024 17:39:42,143127,8,questionnaire-jj6n,,34073966,,10072941,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1280x720,1280x551,,,,Demographics_ex1,6,Jewish_First,accepted,No,religiosity,6
11,1704814782735,09/01/2024 15:39:42,1704814782890,2,09/01/2024 17:39:42,143127,8,questionnaire-jj6n,,34073966,,10072941,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1280x720,1280x551,,,,Demographics_ex1,6,Jewish_First,accepted,No,religiosity-quantised,6
12,1704814782735,09/01/2024 15:39:42,1704814782890,2,09/01/2024 17:39:42,143127,8,questionnaire-jj6n,,34073966,,10072941,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1280x720,1280x551,,,,Demographics_ex1,6,Jewish_First,accepted,No,education,חלק מתואר ראשון באוניברסיטה
13,1704814782735,09/01/2024 15:39:42,1704814782890,2,09/01/2024 17:39:42,143127,8,questionnaire-jj6n,,34073966,,10072941,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1280x720,1280x551,,,,Demographics_ex1,6,Jewish_First,accepted,No,education-quantised,5
14,1704814782735,09/01/2024 15:39:42,1704814782890,2,09/01/2024 17:39:42,143127,8,questionnaire-jj6n,,34073966,,10072941,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1280x720,1280x551,,,,Demographics_ex1,6,Jewish_First,accepted,No,children,0
15,1704814782735,09/01/2024 15:39:42,1704814782890,2,09/01/2024 17:39:42,143127,8,questionnaire-jj6n,,34073966,,10072941,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1280x720,1280x551,,,,Demographics_ex1,6,Jewish_First,accepted,No,scale_of_SES,6
16,1704814782735,09/01/2024 15:39:42,1704814782891,2,09/01/2024 17:39:42,143127,8,questionnaire-jj6n,,34073966,,10072941,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1280x720,1280x551,,,,Demographics_ex1,6,Jewish_First,accepted,No,scale_of_SES-quantised,5
17,1704814782735,09/01/2024 15:39:42,1704814782891,2,09/01/2024 17:39:42,143127,8,questionnaire-jj6n,,34073966,,10072941,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1280x720,1280x551,,,,Demographics_ex1,6,Jewish_First,accepted,No,response-7,
18,1704814782735,09/01/2024 15:39:42,1704814782891,2,09/01/2024 17:39:42,143127,8,questionnaire-jj6n,,34073966,,10072941,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1280x720,1280x551,,,,Demographics_ex1,6,Jewish_First,accepted,No,END QUESTIONNAIRE,64598
END OF FILE
